"Function"	"Initial num swarms"	"Final num swarms"	"Starvation kt"	"Score"	"Error"	"Position"	"Iter"
"sphere"	"ring_topology"	"inertia_weight"	"(1, 2)"	"0.00239848595983"	"0.00239848595983"	"[ 0.00930353  0.04808254]"	"434"	"10000"
"sphere"	"full_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00266303896939"	"0.00266303896939"	"[-0.01532243  0.0492774 ]"	"462"	"10000"
"sphere"	"neumann_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00627394792503"	"0.00627394792503"	"[ 0.03273887 -0.07212568]"	"311"	"10000"
"sphere"	"ring_topology"	"inertia_weight"	"(2.05, 2.05)"	"0.00694213876758"	"0.00694213876758"	"[ 0.003695    0.08323753]"	"491"	"10000"
"sphere"	"neumann_topology"	"inertia_weight"	"(0.01, 0.01)"	"0.00827480599907"	"0.00827480599907"	"[ 0.06087197  0.06759741]"	"499"	"10000"
"sphere"	"full_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.00913583957387"	"0.00913583957387"	"[ 0.08227392  0.0486502 ]"	"429"	"10000"
"sphere"	"ring_topology"	"pso_vanilla"	"(0.01, 0.01)"	"0.0170371662223"	"0.0170371662223"	"[ 0.12970076  0.01465875]"	"462"	"10000"
"sphere"	"neumann_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.0179893954364"	"0.0179893954364"	"[-0.10989477 -0.07689301]"	"347"	"10000"
"sphere"	"full_topology"	"constriction_factor"	"(0.01, 0.01)"	"0.046837585583"	"0.046837585583"	"[-0.00049724 -0.21641936]"	"17"	"10000"
"sphere"	"neumann_topology"	"constriction_factor"	"(1, 2)"	"0.0683101230693"	"0.0683101230693"	"[ 0.23905346  0.10565778]"	"90"	"10000"
"sphere"	"full_topology"	"pso_vanilla"	"(2, 1)"	"0.0767332096425"	"0.0767332096425"	"[-0.01256428 -0.27672251]"	"176"	"10000"
"sphere"	"ring_topology"	"constriction_factor"	"(2.05, 2.05)"	"0.0947137565341"	"0.0947137565341"	"[ 0.15061946  0.26837946]"	"476"	"10000"
"sphere"	"ring_topology"	"pso_vanilla"	"(2, 1)"	"0.187988104055"	"0.187988104055"	"[-0.25775771 -0.34863888]"	"196"	"10000"
"sphere"	"neumann_topology"	"pso_vanilla"	"(1, 2)"	"0.244881393113"	"0.244881393113"	"[ 0.45235716  0.20063499]"	"413"	"10000"
"sphere"	"full_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.298752108524"	"0.298752108524"	"[-0.27432975 -0.47275289]"	"38"	"10000"
"sphere"	"neumann_topology"	"pso_vanilla"	"(2, 1)"	"0.331986296942"	"0.331986296942"	"[ 0.17928394  0.54757974]"	"448"	"10000"
"sphere"	"ring_topology"	"pso_vanilla"	"(2.05, 2.05)"	"0.50036378277"	"0.50036378277"	"[-0.37451253  0.60008678]"	"22"	"10000"
