Function	Topology	PSO	Phi	Error	Position	Iter
rosenbrok	ring_topology	inertia_weight	(0.01, 0.01)	2.78177919088E-006	[ 1.00161281  1.00318573]	499
rosenbrok	ring_topology	inertia_weight	(1, 2)	3.8501991353E-006	[ 1.00025786  1.00032126]	499
rosenbrok	neumann_topology	constriction_factor	(1, 2)	5.89491695489E-006	[ 1.0024178   1.00486362]	48
rosenbrok	neumann_topology	inertia_weight	(1, 2)	6.19083501914E-006	[ 0.99951752  0.99879117]	467
rosenbrok	neumann_topology	constriction_factor	(2.05, 2.05)	7.25331980031E-006	[ 1.00049045  1.00124595]	395
rosenbrok	ring_topology	constriction_factor	(2.05, 2.05)	8.95950716102E-006	[ 0.99746721  0.99478132]	499
rosenbrok	neumann_topology	constriction_factor	(2, 1)	1.40886469883E-005	[ 1.00300634  1.00624645]	243
rosenbrok	full_topology	constriction_factor	(2.05, 2.05)	9.38438854923E-005	[ 0.99031756  0.98075955]	395
rosenbrok	full_topology	constriction_factor	(1, 2)	0.0001324777	[ 0.98851062  0.97708456]	77
rosenbrok	ring_topology	main	(0.01, 0.01)	0.000182347	[ 1.00640626  1.01404229]	421
rosenbrok	full_topology	inertia_weight	(2.05, 2.05)	0.0002150045	[ 0.99328881  0.98792635]	79
rosenbrok	neumann_topology	main	(2, 1)	0.0002699298	[ 0.98495812  0.97080334]	293
rosenbrok	full_topology	constriction_factor	(2, 1)	0.0003447801	[ 0.98148856  0.96317465]	456
rosenbrok	ring_topology	constriction_factor	(2, 1)	0.0004676471	[ 0.98747875  0.97335114]	82
rosenbrok	ring_topology	constriction_factor	(1, 2)	0.000512202	[ 0.97738365  0.95536263]	362
rosenbrok	ring_topology	main	(2, 1)	0.0006087674	[ 1.00489257  1.01222739]	221
rosenbrok	neumann_topology	inertia_weight	(2.05, 2.05)	0.0006775876	[ 1.0021466   1.00170362]	263
rosenbrok	neumann_topology	main	(0.01, 0.01)	0.0007220501	[ 1.00898048  1.01550903]	312
rosenbrok	full_topology	main	(2, 1)	0.0009435444	[ 1.00247097  1.00800981]	105
rosenbrok	ring_topology	main	(1, 2)	0.002073929	[ 0.97032035  0.94497564]	434
rosenbrok	ring_topology	inertia_weight	(2.05, 2.05)	0.0023243968	[ 1.01626018  1.02824604]	362
rosenbrok	neumann_topology	main	(1, 2)	0.004290812	[ 1.02378817  1.04203899]	427
rosenbrok	full_topology	main	(1, 2)	0.0085482567	[ 0.98097256  0.95325939]	170
rosenbrok	ring_topology	constriction_factor	(0.01, 0.01)	0.0087255289	[ 0.95390618  0.91806158]	72
rosenbrok	full_topology	main	(2.05, 2.05)	0.0139217201	[ 0.99108365  0.9704815 ]	15
rosenbrok	ring_topology	main	(2.05, 2.05)	0.0253602111	[ 1.01066637  1.00555739]	122
rosenbrok	neumann_topology	main	(2.05, 2.05)	0.0434255459	[ 1.0205962   1.06235336]	66
rosenbrok	full_topology	constriction_factor	(0.01, 0.01)	0.0512747299	[ 0.78341306  0.60712934]	6
rosenbrok	neumann_topology	constriction_factor	(0.01, 0.01)	0.0931198493	[ 0.86264968  0.71691474]	15
						
rastrigin	full_topology	inertia_weight	(2, 1)	6.57541932014E-008	[  9.88877207e-06  -1.52855403e-05]	498
rastrigin	full_topology	inertia_weight	(0.01, 0.01)	9.08897881402E-008	[ -2.00477271e-05  -7.49805074e-06]	484
rastrigin	full_topology	inertia_weight	(1, 2)	1.73412960436E-007	[ -3.53689883e-06  -2.93527250e-05]	374
rastrigin	neumann_topology	inertia_weight	(1, 2)	3.3911285513E-007	[ -3.74799371e-05  -1.74516666e-05]	343
rastrigin	ring_topology	inertia_weight	(2, 1)	1.26053917171E-006	[  1.11528270e-05  -7.89264976e-05]	382
rastrigin	neumann_topology	inertia_weight	(2, 1)	1.56884691194E-006	[  8.88427425e-05   3.84410836e-06]	456
rastrigin	ring_topology	inertia_weight	(1, 2)	8.05549681004E-006	[  1.98760905e-04  -3.31365294e-05]	323
rastrigin	neumann_topology	inertia_weight	(0.01, 0.01)	2.69593580384E-005	[ 0.00028028  0.00023945]	499
rastrigin	full_topology	main	(0.01, 0.01)	3.32635152915E-005	[-0.00037998  0.00015259]	422
rastrigin	full_topology	constriction_factor	(1, 2)	7.28554468736E-005	[ 0.00038531 -0.00046772]	466
rastrigin	neumann_topology	main	(0.01, 0.01)	0.0001215654	[-0.0006785   0.00039037]	491
rastrigin	ring_topology	inertia_weight	(2.05, 2.05)	0.0001882418	[-0.00054831  0.0008051 ]	453
rastrigin	neumann_topology	constriction_factor	(1, 2)	0.0002521272	[ -2.85503838e-05   1.12696194e-03]	126
rastrigin	neumann_topology	inertia_weight	(2.05, 2.05)	0.0003148399	[-0.00047909 -0.00116509]	436
